index,axis-0,axis-1
0,466,321
1,376,358
2,609,257
3,111,155
4,278,467
5,511,462
6,503,503
7,497,523
8,558,482
9,412,293
10,418,401
11,116,265
12,584,688
13,612,413
14,635,392
15,604,418
16,631,420
17,623,369
18,587,383
19,581,381
20,622,354
21,595,599
22,599,562
23,563,557
24,562,539
25,547,549
26,684,478
27,754,484
28,710,471
29,641,472
30,70,652
31,103,634
32,132,622
33,146,624
34,58,638
35,80,487
36,68,492
37,139,514
38,165,544
39,187,571
40,132,449
41,112,451
42,14,85
43,52,92
44,309,547
45,341,540
46,198,453
47,198,506
48,228,546
49,275,609
50,181,431
51,329,667
52,376,664
53,395,674
54,366,688
55,347,680
56,365,649
57,390,692
58,387,638
59,410,693
60,467,174
61,483,125
62,500,63
63,518,37
64,551,22
65,594,13
66,561,13
67,490,87
68,468,138
69,449,157
70,483,161
71,501,404
72,538,386
73,541,426
74,559,443
75,528,427
76,654,348
77,668,359
78,671,377
79,198,268
80,163,241
81,133,211
82,111,202
83,113,43
84,180,43
85,244,60
86,267,85
87,219,103
88,397,89
89,384,41
90,375,85
91,408,119
92,450,16
93,385,144
94,376,257
95,373,133
96,547,87
97,616,104
98,641,82
99,589,159
100,561,191
101,534,229
102,515,245
103,522,277
104,553,293
105,553,205
106,584,185
107,562,146
108,607,105
109,620,135
110,574,123
111,552,106
112,587,98
113,595,133
114,332,452
115,332,480
116,346,491
117,334,468
118,254,370
119,265,354
120,368,404
121,426,594
122,416,601
123,424,586
124,438,582
125,454,621
126,475,600
127,469,651
128,463,682
129,448,687
130,513,563
131,526,555
132,521,604
133,505,588
134,486,557
135,348,617
136,410,556
137,404,495
138,377,453
139,336,413
140,304,395
141,425,464
142,457,483
143,426,558
144,402,575
145,366,586
146,280,180
147,279,196
148,288,189
149,266,189
150,309,118
151,301,132
152,338,153
153,355,181
154,357,152
155,242,135
156,254,129
157,338,226
158,326,222
159,335,233
160,248,176
161,219,170
162,273,251
163,298,254
164,322,262
165,260,290
166,235,335
167,201,367
168,183,343
169,204,400
170,237,412
171,24,422
172,44,410
173,17,371
174,31,379
175,2,335
176,19,582
177,48,571
178,74,565
179,8,539
180,25,618
181,20,656
182,36,632
183,64,577
184,65,542
185,199,609
186,221,624
187,204,622
188,153,660
189,182,653
190,136,672
191,144,668
192,124,672
193,29,685
194,4,691
195,18,698
196,5,709
197,47,688
198,16,682
199,34,690
200,10,712
201,65,727
202,111,731
203,57,773
204,53,766
205,90,781
206,191,697
207,223,685
208,235,664
209,226,664
210,218,679
211,40,760
212,71,787
213,251,759
214,271,728
215,237,743
216,198,767
217,273,777
218,280,693
219,524,672
220,535,658
221,543,649
222,543,627
223,549,615
224,503,643
225,648,498
226,667,523
227,655,509
228,639,492
229,658,504
230,662,529
231,667,498
232,670,514
233,669,227
234,658,262
235,638,196
236,653,148
237,675,91
238,700,78
239,710,54
240,692,15
241,673,20
242,633,29
243,593,41
244,713,206
245,729,213
246,735,190
247,694,268
248,677,284
249,718,358
250,724,321
251,693,313
252,745,268
253,757,260
254,770,238
255,773,222
256,778,201
257,726,745
258,757,764
259,739,741
260,743,724
261,726,728
262,756,763
263,774,777
264,771,786
265,642,745
266,656,697
267,659,732
268,628,659
269,663,673
270,638,675
271,665,767
272,634,794
273,649,783
274,620,782
275,611,653
276,652,650
277,674,716
278,673,751
279,646,761
280,56,314
281,82,337
282,69,339
283,101,348
284,75,310
285,58,285
286,11,227
287,37,216
288,57,220
289,81,223
290,57,219
291,73,232
292,59,201
293,27,238
294,13,25
295,31,17
296,54,18
297,53,33
298,25,25
299,16,12
300,36,11
301,52,6
302,37,28
303,736,688
304,730,663
305,719,688
306,698,703
307,738,701
308,711,691
309,732,662
310,710,640
311,695,636
312,728,683
313,720,668
314,742,678
315,721,649
316,588,456
317,579,464
318,584,464
319,578,453
320,597,466
321,290,38
322,314,36
323,298,45
324,273,23
325,335,31
326,329,56
327,577,345
328,589,343
329,583,359
330,578,332
331,549,339
332,545,331
333,557,337
334,444,225
335,461,230
336,482,226
337,473,217
338,475,234
339,444,239
340,743,609
341,770,624
342,791,632
343,748,618
344,713,603
345,698,600
346,727,608
347,423,737
348,429,706
349,435,679
350,429,682
351,435,692
352,424,668
353,428,658
354,101,417
355,115,415
356,88,402
357,102,408
358,127,412
359,89,418
360,96,426
361,754,66
362,770,76
363,758,95
364,783,90
365,745,76
366,770,47
367,779,65
368,769,161
369,766,133
370,782,149
371,761,151
